Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS,BUYER,SELLER,,,
16:10:22,4.9,"17,298",848,MATCH,,103167410,TM,WEALTHHUB SEC,PERSHING,,,
16:10:22,4.9,"7,702",377,MATCH,XT,103167400,TM,WEALTHHUB SEC,WEALTHHUB SEC,,,
14:47:41,4.8,"3,333",160,BID,,102412770,TM,PERSHING,WEALTHHUB SEC,,,
14:47:41,4.7,"26,667","1,253",BID,,102412760,TM,PERSHING,CITIGROUP,,,
13:52:09,4.8,"12,765",613,ASK,,102021370,TM,COMMONWEALTH,WEALTHHUB SEC,,,
13:30:04,4.9,"50,000","2,450",ASK,,101871610,TM,COMMONWEALTH,PERSHING,,,
13:30:04,4.9,"18,700",916,ASK,,101871600,TM,COMMONWEALTH,PERSHING,,,
13:03:51,4.9,"81,300","3,984",ASK,XT,101698390,TM,COMMONWEALTH,COMMONWEALTH,,,
13:03:51,4.9,"40,000","1,960",ASK,XT,101698380,TM,COMMONWEALTH,COMMONWEALTH,,,
13:03:51,4.9,"38,700","1,896",ASK,,1403259170,CXA,VIRTU FINANCIAL,COMMONWEALTH,,,
12:55:07,5,"40,000","2,000",BID,XT,101642530,TM,COMMONWEALTH,COMMONWEALTH,,,
12:45:34,5,"200,000","10,000",BID,,101581360,TM,THIRD PARTY,COMMONWEALTH,,,
12:42:33,5.1,"19,607","1,000",BID,,101558300,TM,AIEX,WEALTHHUB SEC,,,
12:24:51,5.1,"14,497",739,BID,,101449270,TM,THIRD PARTY,WEALTHHUB SEC,,,
12:24:51,5.1,"41,248","2,104",BID,,101449260,TM,THIRD PARTY,WEALTHHUB SEC,,,
12:24:51,5,"194,255","9,713",BID,,101449250,TM,THIRD PARTY,WEALTHHUB SEC,,,
12:24:31,5,"5,745",287,BID,,101447230,TM,CMC MARKETS,WEALTHHUB SEC,,,
12:24:31,5,"94,255","4,713",BID,,101447220,TM,CMC MARKETS,COMMONWEALTH,,,
11:50:22,4.9,"12,000",588,BID,,101226220,TM,COMMONWEALTH,CREDIT SUISSE,,,
11:50:22,4.9,"10,000",490,BID,,101226210,TM,COMMONWEALTH,CREDIT SUISSE,,,
10:29:40,4.9,"82,900","4,062",BID,,100534930,TM,CITIGROUP,THIRD PARTY,,,
10:29:02,4.9,667,33,ASK,,100529520,TM,CREDIT SUISSE,THIRD PARTY,,,
10:16:48,4.9,"11,333",555,ASK,,100347280,TM,CREDIT SUISSE,COMMONWEALTH,,,
10:16:48,4.9,"88,667","4,345",ASK,,100347270,TM,CITIGROUP,COMMONWEALTH,,,
10:12:33,4.9,"52,106","2,553",ASK,,100259900,TM,CITIGROUP,MERRILL LYNCH,,,
10:12:33,5,"205,745","10,287",BID,XT,100259890,TM,COMMONWEALTH,COMMONWEALTH,,,
10:12:33,5,"13,255",663,BID,XT,100259880,TM,COMMONWEALTH,COMMONWEALTH,,,
10:12:33,5,"31,000","1,550",BID,,1400272340,CXA,COMMONWEALTH,VIRTU FINANCIAL,,,
10:05:34,5,"10,000",500,BID,,100087240,TM,CREDIT SUISSE,COMMONWEALTH,,,
10:04:17,4.9,"26,227","1,285",MATCH,,100071170,TM,CITIGROUP,WEALTHHUB SEC,,,
10:04:17,4.9,"52,106","2,553",MATCH,,100071160,TM,MERRILL LYNCH,WEALTHHUB SEC,,,
10:04:17,4.9,"15,000",735,MATCH,,100071150,TM,CREDIT SUISSE,WEALTHHUB SEC,,,
10:04:17,4.9,"106,667","5,227",MATCH,,100071140,TM,COMMONWEALTH,WEALTHHUB SEC,,,
10:04:17,4.9,"21,090","1,033",MATCH,XT,100071130,TM,COMMONWEALTH,COMMONWEALTH,,,
10:04:17,4.9,"372,243","18,240",MATCH,,100071120,TM,COMMONWEALTH,THIRD PARTY,,,
10:04:17,4.9,"100,000","4,900",MATCH,,100071110,TM,COMMONWEALTH,THIRD PARTY,,,
,,,,,,,,,,,,
